序號,時間資訊,事件描述（代表性經文開頭 + 精煉直述事件）,地理資訊,出處,備註,耶穌基督後期聖徒教會關聯
11,出埃及前 1 年 (約 6-9 個月期間)/摩西 80 歲 / 亞倫 83 歲 / 約書亞 41 歲 ,「埃及的牲畜幾乎都死了。」【第五災，畜疫】埃及田間牲畜盡都染疫而亡，以色列人的牲畜一隻未損，法老仍固執不肯放行。,埃及 (蘭塞/歌珊地),出 9:1-7,第五災畜疫（出 9:1-7）；審判聖牛神阿匹斯（Apis）與牛首愛神哈索爾（Hathor），重擊埃及經濟與宗教。；此災亦為對埃及牧畜守護神哈索爾（Hathor）的審判。,教約 89:4 記載牲畜染疫而死之審判與後期全地遭惡者敗壞之警告。
12,出埃及前 1 年 (約 6-9 個月期間)/摩西 80 歲 / 亞倫 83 歲 / 約書亞 41 歲 ,「就在人身上和牲畜身上成了起泡的瘡。」【第六災，瘡災】摩西揚爐灰使人畜生瘡，術士亦受災立足不住，法老仍心硬如初。,埃及 (蘭塞/歌珊地),出 9:8-12,第六災起泡的瘡（出 9:8-12）；審判醫學之神印何闐（Imhotep），顯示埃及醫療神祇無效。；摩西揚起爐灰（出 9:8）是對應當時埃及祭司為驅邪向天散灰的宗教習俗，神以此瘡災直接癱瘓埃及醫學之神印何闐（Imhotep）與祭司的潔淨。,教約 29:18-19 記載人畜生瘡之災與末日拒不悔改者肉體在站立時腐爛之審判關聯。
13,出埃及第 1 年 1 月前 (約 1.5 個月)/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「耶和華降下雷、雹，有火閃到地上。」【第七災，雹災】神降重雹與烈火毀田間民畜，歌珊地獨免，法老認罪求饒後再度毀言。,埃及 (蘭塞/歌珊地),出 9:13-35,農業考證：大麥吐穗、麻開花（約公曆2月），橫稈硬化易碎；小麥未長成故倖免； 第七災冰雹與火（出 9:13-35）；審判天空女神努特（Nut）與風暴神賽特（Seth）；重創正值花期的亞麻與大麥。,教約 29:16 記載降下烈火與重雹毀壞田間莊稼之警告互為應驗。
14,出埃及第 1 年 1 月前 (約 2-4 週)/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「東風把蝗蟲颳了來。」【第八災，蝗蟲】東風引蝗吃盡營災餘剩，埃及境內不見一點開色，法老災後依然頑強拒絕放民。,埃及 (蘭塞/歌珊地),出 10:1-20,第八災蝗蟲（出 10:1-20）；審判守護豐收之神敏（Min），吃盡雹災殘餘莊稼，象徵徹底匱乏。；此災亦為對埃及空氣之神舒（Shu）與莊稼守護神敏（Min）的審判。,教約 97:22-26 記載東風引蝗吃盡莊稼與後期時代惡人遭蝗蟲與瘟疫審判之歷史警告。
15,出埃及第 1 年 1 月前 (約 1 週)/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「埃及遍地就黑暗了三天。」【第九災，黑災】黑暗遮蔽埃及三日，人不能相見，唯以色列人家中有光，法老怒逐摩西並脅迫殺之。,埃及 (蘭塞/歌珊地),出 10:21-29,三日 (出 10:21-29); 第九災黑暗（出 10:21-29）；審判埃及最高神太陽神拉（Ra），象徵神對埃及國運的終極否定。,尼三 8:19-23 記載埃及遍地三日黑暗與基督受難時美洲大陸經歷之三天完全黑暗在物理特徵上完全關聯。
16,出埃及第 1 年 1 月 (逾越節預備)/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「各家按著父家取羔羊，一家一隻。」神命民宰無殘疾羔羊塗血於門框門楣，全家束腰穿鞋趕吃火烤羊肉，預備逾越節。,埃及 (蘭塞/歌珊地),出 12:1-28,第十災長子被殺（出 11:1-12:30）；審判被視為神子的法老繼承人；確立凡頭生歸主的代贖原則（出 13:1-2）。,摩賽 13:27-31 記載逾越節與摩西律法之定例均為引導子民仰望基督之無限贖罪；阿 34:13-14 記載律法的各項細節皆指向基督之無限犧牲；JST 出 12:5 記載無殘疾羔羊自創世以來即為神子犧牲之定例。
17,出埃及第 1 年 1 月 14 日半夜/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「到了半夜，耶和華把埃及地所有的長子...盡都殺了。」【第十災，擊長子】神擊殺埃及凡首生者，法老哀求民速離，民向埃及人索得金銀而去。,埃及 (蘭塞/歌珊地),出 12:29-36,逾越節（Pesach）意為「越過」（Pass over）；「我一見這血，就越過你們去」（出 12:13）；預表基督是逾越節的羔羊（林前 5:7）；法例規定羔羊骨頭一根也不可折斷（出 12:46），精確應驗於耶穌受難時（約 19:36）。,教約 76:54 記載長子因血得存活之法理在後期啟示中延伸為長子教會聖徒共同繼承父所有一切之基石；教約 93:22 記載凡藉基督所生者皆為長子教會的承繼者。
18,出埃及第 1 年 1 月 15 日/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲 ,「以色列人從蘭塞起行。」在正月十五日，法老正葬長子時，六十萬步兵攜婦孺及約瑟骸骨從蘭塞起行，安營在疏割，畢四百三十年旅居。,蘭塞 → 疏割 (約 50km),出 12:37-51; 民 33:5,"亞比（Abib）意指「青綠色的穗子」，代表大麥成熟； 正月十五日、在正月十五日 (出 12:37-51; 民 33:5); 疏割意為「棚子」；耶和華在埃及地所有的軍隊都在這一天出來（出 12:41）；應驗後裔必寄居受苦四百年後帶著許多財物出來之應許（創 15:13-14）；約瑟骸骨被帶出（出 13:19），應驗其臨終對神眷顧的信心（創 50:25, 來 11:22）；百姓中沒有一個軟弱的（詩 105:37）。",JST 創 50:24 詳載約瑟臨終前對神必帶領後裔出埃及之預言；尼一 17:23-25 記載美洲先知體系引用出埃及歷史論證神必拯救聖約遺族；阿 46:24-26 記載約瑟外衣殘留部分之預言與聖約遺族保存之關聯。
19,出埃及第 1 年 1 月 16-17 日/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲 ,從疏割起行，安營在曠野邊的以倘。,疏割 → 以倘 (約 40km),民 33:6,以倘意為「他們的邊界」；神在曠野並沒有丟棄他們，日間雲柱不離開，夜間火柱照亮當行的路（尼 9:19）。,教約 49:27 記載曠野雲火柱引路之法理與後期時代主承諾必在聖徒前面引路且在其中央之誓言對接。
20,出埃及第 1 年 1 月 16-17 日/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲 ,「日間，耶和華在雲柱中領他們的路。」神不領民走近路以免遇戰後悔，親以日間雲柱、夜間火柱引路，引領全程方向。,以倘 (曠野邊),出 13:17-22,耶和華在他們前面行（出 13:21）；神在路上在百姓前面行，為要尋找安營的地方（申 1:33）；白日鋪張雲彩，夜間使火光照（詩 105:39）。,阿 37:38-40 記載雲柱火柱之物理導引與美洲先知所使用之利阿賀拿相同且皆根據對神之信心而運作；尼一 16:28 記載指針依據對神之信心與勤奮提供導航。
21,出埃及第 1 年 1 月 16-17 日/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲 ,「法老必說：以色列人在地中迷了路。」從以倘起行，轉到比‧哈希錄，是在巴力‧洗分對面，就在密奪安營。百姓在比哈希錄安營，法老見其被困，率領六百輛特選戰車起意追趕。,以倘 → 比‧哈希錄 → 密奪 (約 30km),民 33:7; 出 14:1-9,"比‧哈希錄意為「峽谷之口」；密奪意為「塔」；巴力‧洗分意為「北方之主」；耶和華宣告要在法老身上得榮耀，埃及人就必知道我是耶和華（出 14:4, 18）。",教約 19:1-3 記載耶和華在法老身上得榮耀與全地必知道主大能之至高主權宣告關聯。
22,出埃及第 1 年 1 月下旬/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲 ,從比‧哈希錄對面起行，經過海中到了書珥曠野，又在以倘的曠野走了三天的路程，就安營在瑪拉。,密奪 → 紅海 → 書珥曠野 → 瑪拉 (約 60km),民 33:8,"過紅海後在書珥曠野步行三日抵達； 書珥意為「牆」；過紅海後進入曠野三天找不到水，試驗百姓是否聽從神的話（出 15:22, 25）。",教約 136:21-26 記載曠野步行三日找不到水之物理考驗對應聖徒需在艱難中受試驗以證明對聖約之忠誠。
23,出埃及第 1 年 1 月下旬/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲 ,「耶和華用大東風使海水退去。」大東風一夜吹開海水使其立起如壘，百姓在海中走乾地。，後覆海水淹沒法老全軍追兵，以色列民因見大能而敬畏神。,紅海 (渡海處),出 14:1-31,以色列人因著信過紅海如行乾地（來 11:29）；神在海中分開水，領百姓過去，將追趕的人拋在深海如石頭拋在大水中（尼 9:11）；百姓在海中受洗歸了摩西（林前 10:1-2）。,尼一 4:2 記載摩西對海說話海即分開為信心與聖職權柄結合命令物理自然之範例；尼二 31:17 記載過紅海與脫離罪惡束縛所需之水與聖靈洗禮之關聯。
24,出埃及第 1 年 1 月下旬/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲 ,「那時，摩西和以色列人向耶和華歌唱。」摩西作歌頌讚神之威嚴，女先知米利暗擊鼓領眾婦女跳舞應和。,紅海東岸 (書珥曠野),出 15:1-21,此為摩西之歌（出 15:1）；與啟示錄應驗：唱神僕人摩西的歌和羔羊的歌，宣告神的作為大哉、奇哉（啟 15:3）。,教約 84:98-102 記載戰勝埃及肉身仇敵所唱之摩西之歌與後期時代錫安建立時聖徒將唱之新歌互為關聯應驗。
25,出埃及第 1 年 1 月下旬/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「他把樹丟在水裡，水就變甜了。」民至瑪拉因水苦發怨言，摩西投樹入水使之變甜，神在此立律例試驗百姓。,瑪拉,出 15:22-27,瑪拉意為「苦」；神在那裡為他們立了律例、典章，在那裡試驗他們（出 15:25）；耶和華啟示：我耶和華是醫治你的（出 15:26）；神使曠野變為水潭，使乾地變為水泉（詩 107:35）。,教約 136:22-24 記載聖徒在旅途中必須經歷考驗以證明其對聖約的忠誠。
26,出埃及第 1 年 1 月下旬/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,從瑪拉起行，來到以琳（以琳有十二股水泉，七十棵棕樹），就在那裡安營。,瑪拉 → 以琳 (約 12km),民 33:9,以琳意為「強壯的樹」；十二股水泉與七十棵棕樹（出 15:27）；神在曠野四十載，百姓衣服沒有穿破，腳也沒有腫（尼 9:21）。,神在曠野四十載，百姓衣服沒有穿破，腳也沒有腫（尼 9:21）。
27,出埃及第 1 年 2 月 15 日/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,從以琳起行，安營在紅海邊。,以琳 → 紅海邊 (約 30km),民 33:10,此為民數記所載重複停靠點（民 33:10）；在進入更深曠野前，再次於救贖的起始地標安營。,此為民數記所載重複停靠點。
28,出埃及第 1 年 2 月 16 日/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,從紅海邊起行，安營在汛的曠野。,紅海邊 → 汛的曠野 (約 25km),民 33:11,汛意為「泥土」；百姓第二次發怨言懷念埃及肉鍋（出 16:3）；神宣告要從天降下糧食試驗百姓是否遵行法度（出 16:4）。,汛意為「泥土」；百姓第二次發怨言懷念埃及肉鍋。
29,出埃及第 1 年 2 月 16 日 - 2 月底/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「我要將糧食從天降給你們。」汛曠野民怨無食，神早降嗎哪晚降鵪鶉，嗎哪供應以色列民四十年直至進入迦南。,汛的曠野,出 16:1-36,"嗎哪意為「這是什麼呢？」（出 16:15）；神降嗎哪像雨給他們吃，賜下天上的糧食（詩 78:24）；預表基督是從天上降下來生命的糧（約 6:31-35, 48-51）；百姓吃了靈糧（林前 10:3）。",阿 37:40-41 記載先祖因嗎哪與奇蹟的日常性而產生麻木，導致無法專注於神的權能，警告末代聖徒不可輕慢神的恩賜。
30,出埃及第 1 年 2 月 16 日 - 2 月底/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,從汛的曠野起行，安營在脫加。,汛的曠野 → 脫加 (約 20km),民 33:12,脫加意為「敲擊」；民數記三十三章所列停靠站（民 33:12）；神在曠野四十年養育百姓，使他們一無所缺（尼 9:21）。,脫加意為「敲擊」；民數記三十三章所列停靠站。
31,出埃及第 1 年 2 月 16 日 - 2 月底/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,從脫加起行，安營在亞錄。,脫加 → 亞錄 (約 15km),民 33:13,亞錄意為「人群聚集」；民數記三十三章所列停靠站（民 33:13）；耶和華引領百姓每一步的安營與起行。,亞錄意為「人群聚集」；民數記三十三章所列停靠站。
32,出埃及第 1 年 2 月 16 日 - 2 月底/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,從亞錄起行，安營在利非訂；在那裡，百姓沒有水喝。,亞錄 → 利非訂 (約 20km),民 33:14,利非訂意為「安歇處」；百姓因無水與摩西爭鬧（出 17:1-3）；地名瑪撒意為「試探」，米利巴意為「爭鬧」（出 17:7）。,利非訂意為「安歇處」；百姓因無水與摩西爭鬧。
33,出埃及第 1 年 2 月 16 日 - 2 月底/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「你要擊打磐石，從磐石裡必有水流出來。」利非訂民爭鬧無水，摩西擊打何烈山磐石出泉供民飲用，地名瑪撒、米利巴。,利非訂,出 17:1-7,神使磐石崩裂，津液噴出，在乾旱之處水流成河（詩 105:41）；神使磐石變為水池，使翠石變為泉源（詩 114:8）；那磐石就是基督（林前 10:4）；百姓都喝了靈水（林前 10:4）；你們不可試探耶和華你們的神，像你們在瑪撒那樣試探他（申 6:16）。,尼二 25:20 記載全地唯有藉著基督這一名字方能獲得救贖與生命之水；阿 33:18-21 記載摩西擊打磐石湧出活水在先知體系中作為仰望基督得活命之核心見證。
34,出埃及第 1 年 2 月 16 日 - 2 月底/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「摩西何時舉手，以色列人就得勝。」亞瑪力人來襲，摩西舉杖山頂，亞倫戶珥扶其手使之穩固，約書亞領軍大勝。,利非訂,出 17:8-16,亞瑪力意為「谷中之民」；耶和華尼西意為「耶和華是我旌旗」（出 17:15）；要在天下塗抹亞瑪力的名號（出 17:14）；紀念路上的亞瑪力人怎樣待你，不可忘記（申 25:17-19）。,摩爾門 9:11 記載神是行神蹟的神，摩西舉手即顯明神對物理戰場的主權與大能。
35,出埃及第 1 年 2 月 16 日 - 2 月底/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「要從百姓中揀選有才能的人。」岳父見摩西審案勞倦，建議設立千夫長等分層負責，摩西採納此議並送岳父歸鄉。,利非訂,出 18:1-27,葉忒羅意為「他的卓越」；摩西回顧：我獨自一人辦理你們的事，我承當不起，所以設立官長管理（申 1:9-13）；此為第一次有關神國度行政管理秩序的記載（出 18:13-26）。,教約 136:1-3 記載現代聖徒西遷曠野時，亦遵循千夫長、百夫長、五十夫長與十夫長之神聖組織行政管理秩序。
36,第 1 年 2 月底/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「以色列人來到西乃的曠野。」抵達聖山面前安營。,利非訂 → 西乃山,出 19:1-2,西乃意為「多刺的」；神將百姓背在翅膀上領歸自己 (出 19:4)。,西乃意為「多刺的」；神將百姓背在翅膀上領歸自己。
37,第 1 年 3 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,第 1 次面見神：「摩西上到神那裡。」領受祭司國度與聖潔國民的聖約提議。,西乃山,出 19:3-6,"祭司的國度、聖潔的國民 (出 19:6, 彼前 2:9)。",教約 84:19-23 記載麥基洗德聖職持有人擁有進入神尊榮面臨之權鑰，神原本意欲使全體百姓皆成為祭司的國度。
38,第 1 年 3 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,第 2 次面見神：「摩西將百姓的話回覆耶和華。」回報百姓遵行之志，吩咐百姓自潔三日。,西乃山,出 19:7-13,百姓同聲回答：凡耶和華所說的我們都要遵行 (出 19:8)。,百姓同聲回答：凡耶和華所說的我們都要遵行。
39,第 1 年 3 月 第 3 天/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,第 3 次面見神：「耶和華在火中降臨西乃山頂。」神嚴誡邊界，摩西隨即下山告誡百姓。,西乃山,出 19:16-25,摩西下山的證據見出 19:25；百姓看見雷轟、閃電、角聲 (出 20:18)。,摩西下山的證據見出 19:25；百姓看見雷轟、閃電、角聲。
40,第 1 年 3 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,第 4 次面見神：「摩西就挨近神所在的幽暗之中。」領受十誡原始版（兩塊石版）。,西乃山,出 20:21-17,耶和華與人面對面說話 (申 5:4)；律法原是藉著摩西傳的 (約 1:17)。,教約 59:5-12 現代啟示重新確立並重申十誡核心法理在後期時代的道德與屬靈約束力。
41,第 1 年 3 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「你要在百姓面前立的典章是這樣。」領受約書中的詳細社會典章與節期制度。,西乃山,出 21:1-23:33,"包含奴僕、賠償、安息年等條例；不可毀謗民的官長 (出 22:28, 徒 23:5)。",包含奴僕、賠償、安息年等條例；不可毀謗民的官長。
42,第 1 年 3 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「摩西將耶和華的命令典章都述說與百姓聽。」下山築壇宣讀約書，正式立盟約。,西乃山 (山下),出 24:3-7,"祭壇與十二根柱子；這是立約的血 (出 24:8, 太 26:28)。",摩賽 5:5-7 記載聖約子民因立約而被稱為基督的兒文，與西乃山下灑血立約之聖約法理完全對接。
43,第 1 年 3 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,第 5 次面見神：「他們看見以色列的神...又吃又喝。」摩西與長老上山在神面前確認盟約。,西乃山,出 24:9-11,祂腳下彷彿有平鋪的藍寶石 (出 24:10)；看見神仍得存活。,教約 110:1-3 記載約瑟斯密與奧利佛考得里在嘉德蘭聖殿中看見主顯現之物理特徵（足下有純金平鋪）與西乃山平鋪藍寶石之物理顯現互為印證。
44,第 1 年 3 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,第 6 次面見神：「摩西進入雲中上山。」神召摩西進入高處，領受法版與會幕樣式。,西乃山,出 24:12-18,歷時 40 晝夜；不吃飯不喝水 (申 9:9)；要按著在山上指示你的樣式 (出 25:40)。,摩西 1:1-2 詳載摩西在山上改變形體並與神面對面交談四十晝夜之詳細過程與屬靈法理。
45,第 1 年 3 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「耶和華曉諭摩西說...」詳細啟示約櫃、陳設餅桌與燈臺的製作規格。,西乃山,出 25:1-40,"約櫃的「槓」不可抽出來 (出 25:15)；陳設餅例 (利 24:5-9) 見於大衛逃亡時 (撒上 21:1-6, 太 12:4)。",約櫃的「槓」不可抽出來；陳設餅例見於大衛逃亡時。
46,第 1 年 3 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「你要用十幅幔子作帳幕。」詳細啟示幕幔、板、門簾及祭壇的規格。,西乃山,出 26:1-27:21,聖幕是天上事物的影像和影子 (來 8:5)；會幕移動時必須按樣式拆裝。,聖幕是天上事物的影像和影子；會幕移動時必須按樣式拆裝。
47,第 1 年 3 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「你要給你哥哥亞倫作聖衣為榮耀，為華美。」啟示祭司聖衣、膏油及承接聖職的條例。,西乃山,出 28:1-31:18,包含胸牌上的烏陵和土明 (出 28:30)；神親手寫的兩塊法版 (出 31:18)。,教約 124:37-39 記載會幕、祭司聖衣與烏陵土明之設計，皆為高處啟示之神神聖定例，與後期聖殿崇拜與啟示法理具有直接傳承性。
48,第 1 年 4 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「百姓見摩西遲延不下山。」亞倫順從民意造金牛犢，引發百姓坐下吃喝、起來玩耍。,西乃山 (山下),出 32:1-6,"亞倫意為「山中之人」；他們在何烈山造了牛犢 (詩 106:19, 林前 10:7)。",亞倫意為「山中之人」；他們在何烈山造了牛犢。
49,第 1 年 4 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「摩西轉身下山，手裡拿著兩塊法版。」看見金牛犢便發烈怒，摔碎石版並擊殺叛民。,西乃山 (山下),出 32:15-29,利未意為「聯合」；這日利未人為自己得福 (出 32:29)。,摩西 1:18-22 記載摩西在面對偶像與撒旦誘惑時發出義怒，並奉神子名將其斥退，可與山下平息拜牛犢罪惡互為法理互證。
50,第 1 年 4 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,第 7 次面見神：「摩西回到耶和華那裡說...倘或你肯赦免他們的罪。」為百姓代求。,西乃山,出 32:30-35,摩西祈求見神的榮耀 (出 33:18)；摩西在祂面前站在破口 (詩 106:23)。,摩西祈求見神的榮耀；摩西在祂面前站在破口。
51,第 1 年 4 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「摩西將帳幕支搭在營外。」因神不與百姓同往，摩西在營外會幕面見神。,西乃山 (營外),出 33:7-11,耶和華是認識摩西名、在他眼前蒙恩的神 (出 33:17)。,耶和華是認識摩西名、在他眼前蒙恩的神。
52,第 1 年 4-6 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,第 8 次面見神：「摩西就鑿出兩塊石版...清晨上西乃山去。」神重新頒律法並宣告屬性。,西乃山,出 34:1-28,再歷 40 晝夜；有憐憫、有恩典、不輕易發怒、有豐盛的慈愛和誠實 (出 34:6)。,JST 出 34:1-2 精確記載因百姓在牛犢事件中的頑梗，神雖重寫石版，但將其中所包含的「麥基洗德聖職與其神聖定例」抽去，僅留下律法的基本條例（亞倫聖職律法）。
53,第 1 年 6 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「摩西面皮因耶和華與他說話就發了光。」摩西下山，用帕子蒙臉與百姓說話。,西乃山 (山下),出 34:29-35,亞倫和眾民看見摩西面皮發光就害怕 (出 34:30)；帕子在基督裡才廢去 (林後 3:13-18)。,教約 84:22-23 說明人若無聖職權柄與形體改變，肉身無法承受神的榮耀，摩西因四十日面見神而使肉體產生發光之物理現象。
